번호,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
77,삼성카드,"38,800",700,-1.77%,"5,000","44,953","115,859",6.92,"102,621",7.00,7.61,
78,삼양식품,"567,000","39,000",+7.39%,"5,000","42,712","7,533",15.14,"158,835",25.06,24.81,
79,한진칼,"63,900","2,700",+4.41%,"2,500","42,661","66,762",21.96,"187,050",9.76,14.79,
80,LG유플러스,"9,760",120,+1.24%,"5,000","42,613","436,611",35.22,"1,147,104",7.08,7.49,
81,HD현대미포,"106,200","5,200",+5.15%,"5,000","42,419","39,942",21.24,"750,723",-31.06,-6.96,
82,NH투자증권,"12,950",240,+1.89%,"5,000","42,410","327,492",18.05,"1,266,329",7.60,7.50,
83,LIG넥스원,"191,000","11,400",+6.35%,"5,000","42,020","22,000",21.03,"385,450",23.90,17.61,
84,현대오토에버,"151,000","6,500",+4.50%,500,"41,410","27,424",1.72,"95,310",31.36,9.01,
85,SK바이오사이언스,"53,800","4,450",+9.02%,500,"41,333","76,828",6.74,"208,498",180.54,1.30,
86,GS,"44,300",250,+0.57%,"5,000","41,162","92,915",23.37,"130,501",3.31,10.05,
87,두산로보틱스,"63,400","4,100",+6.91%,500,"41,096","64,820",3.45,"586,495",-255.65,-6.59,
88,포스코DX,"27,000","2,150",+8.65%,500,"41,049","152,035",6.62,"942,474",44.63,21.08,
89,TIGER 미국S&P500,"18,010",340,+1.92%,0,"41,045","227,900",0.00,"7,923,068",N/A,N/A,
90,미래에셋증권,"6,870",210,+3.15%,"5,000","40,898","595,316",13.63,"1,105,098",20.45,2.97,
91,코웨이,"55,200",300,-0.54%,500,"40,737","73,800",60.20,"342,850",8.60,19.03,
92,한화솔루션,"23,300",350,+1.53%,"5,000","40,051","171,893",21.54,"1,142,942",-5.19,-2.48,
93,롯데케미칼,"92,000","2,900",+3.25%,"5,000","39,353","42,775",24.98,"143,921",-14.33,-0.33,
94,TIGER KOFR금리액티브(합성),"106,150",10,+0.01%,0,"38,064","35,859",0.00,"56,779",N/A,N/A,
95,엔씨소프트,"171,700","11,300",+7.04%,500,"37,695","21,954",36.27,"167,209",24.22,6.58,
96,금양,"64,600","8,500",+15.15%,500,"37,500","58,050",12.39,"818,825",-51.07,-38.52,
97,한국가스공사,"40,450","2,500",+6.59%,"5,000","37,341","92,313",6.85,"1,955,251",-7.65,-7.68,
98,코스모신소재,"114,400","7,600",+7.12%,"1,000","37,192","32,511",13.88,"264,701",126.83,7.41,
99,시프트업,"63,800","6,000",+10.38%,200,"37,020","58,026",1.19,"716,195",29.92,86.44,
100,한국금융지주,"66,300","2,600",+4.08%,"5,000","36,946","55,726",41.54,"251,488",5.47,8.81,
