title,price,image,link
갤럭시북4 NT750XGR-A31A 최종47만 인텔CPU 가성비노트북 대학생노트북 작업용 사무용 학생용노트북,"699,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3647883984
ASUS 비보북 16 R5 M1605YA-MB60 M1605YA-MB607 가성비 사무용 노트북,"839,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3742563315
엘리트 드래곤플라이 G3 6W7M2PA (i7-1255U/1TB SSD/LPDDR5 32G/5G/윈도우10프로),"1,799,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=2512606142&buyboxtype=ad
갤럭시북4 NT750XGR-A51A 최종64만 인텔CPU 가성비노트북 대학생노트북 재택근무 강의용노트북,"798,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3647869931
빅터스 15-fa1107TX 특가94만 인텔 i5 지포스 RTX4060 SSD 512GB FHD 144Hz 가성비 게이밍 노트북,"1,458,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3135619657
LG그램16 프로 16ZD90SP-GX79K  /Win11 FPP+256G증정+그램파우치+최종189만/ 인텔 울트라7 32GB 512GB,"2,259,260",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3411832235&buyboxtype=ad
갤럭시북4프로 NT940XGQ-A51A 단 하루혜택 104만+SSD더블업/울트라5/16GB/WQXGA+ 터치 노트북,"1,449,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3401549975
빅터스 16-r1035TX 특가114만 최신 인텔 14세대 i5-14500HX 16GB DDR5 RTX4060 MUX 게이밍 노트북,"1,679,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3440795201
LG그램16 프로 16ZD90SP-GX76K  /그램파우치+최종169만 인텔 울트라7 16GB 256GB 초경량 전문가용 노트북,"2,040,860",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3419376418&buyboxtype=ad
Legion Pro 5i 16IRX9 i9 4070 Plus P3/ 게이머데이 특가:209만/ 인텔 i9-14900HX/ RTX4070/ 게이밍노트북,"2,837,840",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3638852212
프레데터 헬리오스 네오V PHN16-72-55XV 14세대 i5 14500HX 16GB RTX4060 WQXGA 165Hz,"1,469,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3543516637
LG그램16 프로 16Z90SP-EA59K  /1TB+그램파우치+최종197만/울트라5 32GB 512GB 윈도우11 RTX3050,"2,237,420",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3419387325&buyboxtype=ad
레노버 아이디어패드 Slim3 R5 15인치 노트북 한가위 특가 45.만원대,"704,450",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3785915631
빅터스 16-r1036TX 특가129만 최신 인텔 14세대 i7-14700HX 16GB DDR5 RTX4060 MUX 게이밍 노트북,"1,844,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3440801587
엘리트북 840 G11 8M4X5AV U7-155H ( 드림컬러/ 5G/ Win11Pro) (기본제품),"2,329,000",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3767954463&buyboxtype=ad
레노버 아이디어패드 Slim1-15ALC7 (R5-5500U / 8GB / 256GB / FreeDOS),"485,130",http://image.gmarket.co.kr/hanbando/202408/a4e449b9-22a7-4df9-aaa4-148d912fcc83.png?date=20240903,http://item.gmarket.co.kr/Item?goodscode=3262220494
