N,종목명,현재가,전일비,등락률,거래량,거래대금,매수호가,매도호가,시가총액,PER,ROE
77,ACE 미국S&P500,"18,140",290,1.62%,"1,453,124","26,293","18,135","18,140","11,646",N/A,N/A
78,에이프로젠바이오로직스,"1,012",14,1.40%,"1,421,015","1,448","1,008","1,010","1,339",-0.7,-29.75
79,한미반도체,"107,000","4,400",4.29%,"1,418,690","152,977","106,700","106,800","103,783",51.15,55.54
80,RISE 2차전지TOP10인버스(합성),"31,030","1,720",-5.25%,"1,415,336","43,860","31,250","31,285",946,N/A,N/A
81,한국가스공사,"40,450","2,500",6.59%,"1,388,369","55,941","40,150","40,200","37,341",-7.65,-7.68
82,KB금융,"80,500","3,700",4.82%,"1,386,639","110,943","79,400","79,500","324,826",7.77,8.44
83,신한지주,"54,100","1,300",2.46%,"1,360,417","73,946","53,400","53,500","275,582",6.5,8.36
84,LG디스플레이,"10,550",470,4.66%,"1,331,887","14,084","10,490","10,500","52,750",-1.83,-31.95
85,한화생명,"2,805",75,2.75%,"1,329,841","3,750","2,780","2,785","24,362",3.91,5.43
86,삼성전자우,"58,400","2,300",4.10%,"1,313,914","77,167","58,100","58,200","480,566",20.14,N/A
87,한전산업,"13,910","1,160",9.10%,"1,311,097","18,061","13,810","13,820","4,535",24.88,15.53
88,TIGER Fn반도체TOP10,"10,680",620,6.16%,"1,301,367","13,909","10,600","10,615","8,304",N/A,N/A
89,퍼스텍,"3,075",240,8.47%,"1,256,065","3,712","3,045","3,050","1,500",30.15,7.77
90,WOORI 반도체밸류체인액티브,"9,370",365,4.05%,"1,236,938","11,636","9,325","9,330",703,N/A,N/A
91,TIGER 은행고배당플러스TOP10,"13,245",550,4.33%,"1,203,114","15,954","13,120","13,130","2,629",N/A,N/A
92,기아,"102,100","5,800",6.02%,"1,201,601","122,556","101,700","101,800","408,255",4.34,20.44
93,SH에너지화학,550,29,5.57%,"1,199,814",653,542,544,611,-12.79,-2.81
94,신한 인버스 2X 코스닥 150 선물 ETN,"7,220","1,275",-15.01%,"1,198,955","8,726","7,315","7,325",722,N/A,N/A
95,기업은행,"13,200",290,2.25%,"1,188,882","15,747","13,130","13,150","105,260",3.86,8.79
96,TIGER 차이나전기차SOLACTIVE,"6,765",70,1.05%,"1,185,110","8,062","6,745","6,755","15,716",N/A,N/A
97,KODEX 2차전지산업,"15,615",735,4.94%,"1,183,076","18,468","15,480","15,495","10,728",N/A,N/A
98,한투 인버스 2X 코스닥150선물 ETN,"7,200","1,225",-14.54%,"1,174,662","8,653","7,315","7,340","1,440",N/A,N/A
99,디아이,"14,870","1,340",9.90%,"1,160,774","16,955","14,600","14,620","4,208",450.61,2.09
100,카카오,"38,300","2,000",5.51%,"1,140,294","43,488","37,850","37,900","169,839",-16.75,-10.26
