N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
83,현대오토에버,"152,000","7,500",+5.19%,500,"41,684","27,424",1.72,"73,753",31.57,9.01,
84,LIG넥스원,"188,800","9,200",+5.12%,"5,000","41,536","22,000",21.03,"285,460",23.62,17.61,
85,미래에셋증권,"6,970",310,+4.65%,"5,000","41,494","595,316",13.63,"682,229",20.74,2.97,
86,GS,"44,600",550,+1.25%,"5,000","41,440","92,915",23.37,"72,955",3.33,10.05,
87,코웨이,"55,600",100,+0.18%,500,"41,033","73,800",60.20,"156,797",8.66,19.03,
88,TIGER 미국S&P500,"17,950",280,+1.58%,0,"40,908","227,900",0.00,"4,986,226",N/A,N/A,
89,포스코DX,"26,700","1,850",+7.44%,500,"40,593","152,035",6.62,"717,511",44.13,21.08,
90,한화솔루션,"23,550",600,+2.61%,"5,000","40,481","171,893",21.54,"757,442",-5.24,-2.48,
91,두산로보틱스,"62,400","3,100",+5.23%,500,"40,448","64,820",3.45,"462,139",-251.61,-6.59,
92,SK바이오사이언스,"52,600","3,250",+6.59%,500,"40,411","76,828",6.74,"117,362",176.51,1.30,
93,롯데케미칼,"92,500","3,400",+3.82%,"5,000","39,567","42,775",24.98,"84,406",-14.40,-0.33,
94,TIGER KOFR금리액티브(합성),"106,145",5,0.00%,0,"38,063","35,859",0.00,"37,554",N/A,N/A,
95,엔씨소프트,"171,700","11,300",+7.04%,500,"37,695","21,954",36.27,"96,038",24.22,6.58,
96,한국금융지주,"67,300","3,600",+5.65%,"5,000","37,504","55,726",41.54,"141,308",5.55,8.81,
97,삼성증권,"41,750","1,450",+3.60%,"5,000","37,283","89,300",30.36,"247,759",6.80,8.54,
98,시프트업,"64,200","6,400",+11.07%,200,"37,253","58,026",1.19,"542,295",30.11,86.44,
99,한국가스공사,"40,350","2,400",+6.32%,"5,000","37,248","92,313",6.85,"1,413,220",-7.63,-7.68,
100,금양,"64,000","7,900",+14.08%,500,"37,152","58,050",12.39,"602,259",-50.59,-38.52,
